,0
TCGA-43-6773-11A-01R-1949-07,-0.037700266
TCGA-43-7657-11A-01R-2125-07,-0.03512099
TCGA-43-7658-11A-01R-2125-07,-0.049169317
TCGA-51-4079-11A-01R-1758-07,-0.05538209
TCGA-51-4080-11A-01R-1758-07,-0.042851027
TCGA-51-4081-11A-01R-1758-07,-0.029008616
TCGA-56-7222-11A-01R-2045-07,-0.1065689
TCGA-56-7579-11A-01R-2045-07,-0.044703625
TCGA-56-7580-11A-01R-2045-07,-0.052268054
TCGA-56-7582-11A-01R-2045-07,-0.04612732
TCGA-56-7730-11A-01R-2125-07,-0.044674452
TCGA-56-7731-11A-01R-2125-07,-0.07521248
TCGA-56-7823-11A-01R-2247-07,-0.048845407
TCGA-56-8082-11A-01R-2247-07,-0.061237242
TCGA-56-8083-11A-01R-2247-07,-0.07655746
TCGA-56-8201-11A-01R-2247-07,-0.061979014
TCGA-56-8309-11A-01R-2296-07,-0.033818405
TCGA-56-8623-11A-01R-A28V-07,-0.027146744
TCGA-58-8386-11A-01R-2296-07,-0.026808001
TCGA-60-2709-11A-01R-1820-07,-0.06798329
TCGA-77-7138-11A-01R-2045-07,-0.06499335
TCGA-77-7142-11A-01R-2045-07,-0.07571251
TCGA-77-7335-11A-01R-2045-07,-0.08617416
TCGA-77-7337-11A-01R-2045-07,-0.079088405
TCGA-77-7338-11A-01R-2045-07,-0.085028686
TCGA-77-8007-11A-01R-2187-07,-0.040238924
TCGA-77-8008-11A-01R-2187-07,-0.049814906
TCGA-85-7710-11A-01R-2125-07,-0.029452072
TCGA-90-6837-11A-01R-1949-07,-0.07794071
TCGA-90-7767-11A-01R-2125-07,-0.046839796
TCGA-92-7340-11A-01R-2045-07,-0.06802553
TCGA-38-4625-11A-01R-1758-07,-0.062552966
TCGA-38-4626-11A-01R-1758-07,-0.05694815
TCGA-38-4627-11A-01R-1758-07,-0.070053235
TCGA-38-4632-11A-01R-1755-07,-0.08346148
TCGA-44-2655-11A-01R-1758-07,-0.0575485
TCGA-44-2657-11A-01R-1758-07,-0.041323498
TCGA-44-2661-11A-01R-1758-07,-0.058824897
TCGA-44-2662-11A-01R-1758-07,-0.070043564
TCGA-44-2665-11A-01R-1758-07,-0.07143791
TCGA-44-2668-11A-01R-1758-07,-0.08298553
TCGA-44-3396-11A-01R-1758-07,-0.043622866
TCGA-44-3398-11B-01R-1758-07,-0.03381918
TCGA-44-5645-11A-01R-1628-07,-0.058533423
TCGA-44-6144-11A-01R-1755-07,-0.082609355
TCGA-44-6145-11A-01R-1858-07,-0.06417082
TCGA-44-6146-11A-01R-1858-07,-0.079955876
TCGA-44-6147-11A-01R-1858-07,-0.06815142
TCGA-44-6148-11A-01R-1858-07,-0.030356025
TCGA-44-6776-11A-01R-1858-07,-0.06894912
TCGA-44-6777-11A-01R-1858-07,-0.061614167
TCGA-44-6778-11A-01R-1858-07,-0.05655496
TCGA-49-4490-11A-01R-1858-07,-0.06846965
TCGA-49-4512-11A-01R-1858-07,-0.068801135
TCGA-49-6742-11A-01R-1858-07,-0.05215737
TCGA-49-6743-11A-01R-1858-07,-0.0838849
TCGA-49-6744-11A-01R-1858-07,-0.0786395
TCGA-49-6745-11A-01R-1858-07,-0.056241874
TCGA-49-6761-11A-01R-1949-07,-0.08591157
TCGA-50-5930-11A-01R-1755-07,-0.10194597
TCGA-50-5931-11A-01R-1858-07,-0.09230635
TCGA-50-5932-11A-01R-1755-07,-0.076915056
TCGA-50-5933-11A-01R-1755-07,-0.06812901
TCGA-50-5935-11A-01R-1858-07,-0.053059947
TCGA-50-5936-11A-01R-1628-07,-0.08249274
TCGA-50-5939-11A-01R-1628-07,-0.080761485
TCGA-50-6595-11A-01R-1858-07,-0.059290793
TCGA-55-6968-11A-01R-1949-07,-0.05731379
TCGA-55-6969-11A-01R-1949-07,-0.05782313
TCGA-55-6970-11A-01R-1949-07,-0.06033397
TCGA-55-6971-11A-01R-1949-07,-0.06954888
TCGA-55-6972-11A-01R-1949-07,-0.061315056
TCGA-55-6975-11A-01R-1949-07,-0.073536694
TCGA-55-6978-11A-01R-1949-07,-0.049049083
TCGA-55-6979-11A-01R-1949-07,-0.07193511
TCGA-55-6980-11A-01R-1949-07,-0.055598926
TCGA-55-6981-11A-01R-1949-07,-0.043495655
TCGA-55-6982-11A-01R-1949-07,-0.044603292
TCGA-55-6983-11A-01R-1949-07,-0.06483188
TCGA-55-6984-11A-01R-1949-07,-0.06366361
TCGA-55-6985-11A-01R-1949-07,-0.03396011
TCGA-55-6986-11A-01R-1949-07,-0.03497438
TCGA-73-4676-11A-01R-1755-07,-0.08383227
TCGA-91-6828-11A-01R-1858-07,-0.061572544
TCGA-91-6829-11A-01R-1858-07,-0.057653103
TCGA-91-6831-11A-02R-1858-07,-0.094234854
TCGA-91-6835-11A-01R-1858-07,-0.028963538
TCGA-91-6836-11A-01R-1858-07,-0.07107719
TCGA-91-6847-11A-01R-1949-07,-0.070356324
TCGA-91-6849-11A-01R-1949-07,-0.051911827
TCGA-BR-6453-11A-01R-1802-13,-0.019362405
TCGA-BR-6454-11A-01R-1802-13,-0.03270407
TCGA-BR-6457-11A-01R-1802-13,-0.043484956
TCGA-BR-6458-11A-01R-1802-13,-0.062193256
TCGA-BR-6564-11A-01R-1884-13,-0.014600436
TCGA-BR-6802-11A-01R-1884-13,-0.068320505
TCGA-BR-6852-11A-01R-1884-13,-0.06485784
TCGA-BR-7704-11A-01R-2055-13,-0.016143532
TCGA-BR-7715-11A-01R-2055-13,-0.01867509
TCGA-BR-7716-11A-01R-2055-13,-0.04216535
TCGA-BR-7717-11A-01R-2055-13,-0.020827595
TCGA-BR-7851-11A-01R-2203-13,-0.053667843
TCGA-CG-5720-11A-01R-1602-13,-0.031128217
TCGA-CG-5721-11A-01R-1602-13,-0.07287255
TCGA-CG-5722-11A-02R-1602-13,-0.038685586
TCGA-CG-5728-11A-01R-1602-13,-0.046630677
TCGA-CG-5730-11A-01R-1602-13,-0.059507526
TCGA-CG-5733-11A-01R-1602-13,-0.044383116
TCGA-CG-5734-11A-01R-1602-13,-0.055927873
TCGA-FP-7735-11A-01R-2055-13,-0.10866121
TCGA-FP-7829-11A-01R-2055-13,-0.089640394
TCGA-HU-8238-11A-01R-2343-13,-0.08743773
TCGA-HU-A4G3-11A-11R-A24K-31,-0.12271978
TCGA-HU-A4GC-11A-11R-A251-31,-0.105683774
TCGA-HU-A4GH-11A-11R-A36D-31,-0.05278405
TCGA-HU-A4GN-11A-12R-A251-31,-0.06102763
TCGA-HU-A4GP-11A-21R-A251-31,-0.09506764
TCGA-HU-A4GY-11A-11R-A36D-31,-0.080670945
TCGA-HU-A4HB-11A-11R-A251-31,-0.10394526
TCGA-IN-7806-11A-01R-2055-13,-0.12075286
TCGA-IN-8462-11A-01R-2343-13,-0.10664548
TCGA-IN-8663-11A-01R-2402-13,-0.14412844
TCGA-IN-AB1V-11A-11R-A414-31,-0.08982041
TCGA-IN-AB1X-11A-21R-A39E-31,-0.08473454
TCGA-IP-7968-11A-01R-2203-13,-0.06780586
TCGA-P8-A5KC-11A-11R-A35K-07,-0.12465928
TCGA-P8-A5KD-11A-11R-A35K-07,-0.14104256
TCGA-SQ-A6I4-11A-11R-A35L-07,-0.13647634
TCGA-CV-6933-11A-01R-1915-07,-0.08856664
TCGA-CV-6934-11A-01R-1915-07,-0.061216235
TCGA-CV-6935-11A-01R-1915-07,-0.10495338
TCGA-CV-6936-11A-01R-1915-07,-0.08043797
TCGA-CV-6938-11A-01R-1915-07,-0.04571122
TCGA-CV-6939-11A-01R-1915-07,-0.07994119
TCGA-CV-6943-11A-01R-1915-07,-0.109491
TCGA-CV-6955-11A-01R-2016-07,-0.036834404
TCGA-CV-6956-11A-01R-2016-07,-0.11051372
TCGA-CV-6959-11A-01R-1915-07,-0.07496535
TCGA-CV-6960-11A-01R-2016-07,-0.13422328
TCGA-CV-6961-11A-01R-1915-07,-0.1290698
TCGA-CV-6962-11A-01R-1915-07,-0.093962155
TCGA-CV-7091-11A-01R-2016-07,-0.09716023
TCGA-CV-7097-11A-01R-2016-07,-0.027088579
TCGA-CV-7101-11A-01R-2016-07,-0.111205526
TCGA-CV-7103-11A-01R-2016-07,-0.07101991
TCGA-CV-7177-11A-01R-2016-07,-0.10527045
TCGA-CV-7178-11A-01R-2016-07,-0.0500877
TCGA-CV-7183-11A-01R-2016-07,-0.14918004
TCGA-CV-7235-11A-01R-2016-07,-0.058082134
TCGA-CV-7238-11A-01R-2016-07,-0.05443368
TCGA-CV-7242-11A-01R-2016-07,-0.10719652
TCGA-CV-7245-11A-01R-2016-07,-0.065173894
TCGA-CV-7250-11A-01R-2016-07,-0.08310347
TCGA-CV-7252-11A-01R-2016-07,-0.09127786
TCGA-CV-7255-11A-01R-2016-07,-0.080323346
TCGA-CV-7261-11A-01R-2016-07,-0.11691113
TCGA-CV-7406-11A-01R-2081-07,-0.07766975
TCGA-CV-7416-11A-01R-2081-07,-0.1349986
TCGA-CV-7423-11A-01R-2081-07,-0.11029008
TCGA-CV-7424-11A-01R-2081-07,-0.07902831
TCGA-CV-7425-11A-01R-2081-07,-0.113295555
TCGA-CV-7432-11A-01R-2132-07,-0.088319264
TCGA-CV-7434-11A-01R-2132-07,-0.052142546
TCGA-CV-7437-11A-01R-2132-07,-0.10326259
TCGA-CV-7438-11A-01R-2132-07,-0.09460037
TCGA-CV-7440-11A-01R-2187-07,-0.09505876
TCGA-H7-A6C4-11A-21R-A466-07,-0.07103191
TCGA-H7-A6C5-11A-11R-A30B-07,-0.054459456
TCGA-HD-8635-11A-01R-2403-07,-0.096285366
TCGA-HD-A6HZ-11A-11R-A31N-07,-0.07260608
TCGA-HD-A6I0-11A-11R-A31N-07,-0.076552086
TCGA-WA-A7GZ-11A-11R-A34R-07,-0.07617976
TCGA-KL-8324-11A-01R-2315-07,-0.039990917
TCGA-KL-8326-11A-01R-2315-07,-0.041859254
TCGA-KL-8329-11A-01R-2315-07,-0.051774725
TCGA-KL-8332-11A-01R-2315-07,-0.07194335
TCGA-KL-8336-11A-01R-2315-07,-0.036990665
TCGA-KL-8339-11A-01R-2315-07,-0.049025428
TCGA-KN-8419-11A-01R-2315-07,-0.071690656
TCGA-KN-8422-11A-01R-2315-07,-0.05454534
TCGA-KN-8423-11A-01R-2315-07,-0.0549043
TCGA-KN-8424-11A-01R-2315-07,-0.08086228
TCGA-KN-8425-11A-01R-2315-07,-0.10762768
TCGA-KN-8426-11A-01R-2315-07,-0.048415016
TCGA-KN-8427-11A-01R-2315-07,-0.07995215
TCGA-KN-8428-11A-01R-2315-07,-0.037314944
TCGA-KN-8429-11A-01R-2315-07,-0.072046064
TCGA-KN-8430-11A-01R-2315-07,-0.09043094
TCGA-KN-8431-11A-01R-2315-07,-0.09748186
TCGA-KN-8432-11A-01R-2315-07,-0.062554464
TCGA-KN-8433-11A-01R-2315-07,-0.06534767
TCGA-KN-8434-11A-01R-2315-07,-0.052669164
TCGA-KN-8435-11A-01R-2315-07,-0.03438086
TCGA-KN-8436-11A-01R-2315-07,-0.061638933
TCGA-KN-8437-11A-01R-2315-07,-0.033515096
TCGA-KO-8403-11A-01R-2315-07,-0.08254125
TCGA-KO-8415-11A-01R-2315-07,-0.052736845
TCGA-FX-A2QS-11A-11R-A21T-07,-0.05625434
TCGA-K1-A3PO-11A-12R-A21T-07,-0.12376816
TCGA-BJ-A28R-11A-11R-A16R-07,-0.089842
TCGA-BJ-A28W-11A-11R-A32Y-07,-0.12104715
TCGA-BJ-A28X-11A-11R-A22L-07,-0.06410078
TCGA-BJ-A290-11A-11R-A180-07,-0.114894874
TCGA-BJ-A2N7-11A-11R-A18C-07,-0.12566073
TCGA-BJ-A2N8-11A-11R-A18C-07,-0.14686665
TCGA-BJ-A2N9-11A-11R-A18C-07,-0.08609556
TCGA-BJ-A2NA-11A-11R-A19O-07,-0.09912375
TCGA-BJ-A3PR-11A-11R-A220-07,-0.09835925
TCGA-BJ-A3PU-11A-11R-A220-07,-0.12873368
TCGA-DO-A1JZ-11A-11R-A13Y-07,-0.15002911
TCGA-E8-A2JQ-11A-11R-A180-07,-0.076542296
TCGA-EL-A3GZ-11A-11R-A20F-07,-0.14040187
TCGA-EL-A3H1-11A-11R-A21D-07,-0.11165142
TCGA-EL-A3H2-11A-11R-A20F-07,-0.13605015
TCGA-EL-A3H7-11A-11R-A21D-07,-0.096928716
TCGA-EL-A3MW-11A-11R-A20F-07,-0.114335
TCGA-EL-A3MX-11A-11R-A21D-07,-0.121628545
TCGA-EL-A3MY-11A-12R-A21D-07,-0.1295118
TCGA-EL-A3N2-11A-11R-A20F-07,-0.12928493
TCGA-EL-A3N3-11A-11R-A20F-07,-0.09186344
TCGA-EL-A3T0-11A-12R-A22L-07,-0.10229663
TCGA-EL-A3T1-11A-11R-A22L-07,-0.07660034
TCGA-EL-A3T2-11A-11R-A22L-07,-0.14486782
TCGA-EL-A3T3-11A-11R-A22L-07,-0.13111076
TCGA-EL-A3T6-11A-11R-A220-07,-0.094248116
TCGA-EL-A3T7-11A-21R-A22L-07,-0.115733795
TCGA-EL-A3T8-11A-11R-A22L-07,-0.10615508
TCGA-EL-A3TA-11A-12R-A22L-07,-0.11937775
TCGA-EL-A3TB-11A-11R-A22L-07,-0.12569246
TCGA-EL-A3ZG-11A-13R-A23N-07,-0.1473056
TCGA-EL-A3ZH-11A-11R-A23N-07,-0.13763602
TCGA-EL-A3ZK-11A-11R-A23N-07,-0.08554962
TCGA-EL-A3ZL-11A-11R-A23N-07,-0.11565007
TCGA-EL-A3ZM-11A-12R-A23N-07,-0.13148996
TCGA-EL-A3ZO-11A-12R-A23N-07,-0.09704297
TCGA-EL-A3ZP-11A-11R-A23N-07,-0.07342449
TCGA-EL-A3ZQ-11A-11R-A23N-07,-0.090749316
TCGA-EL-A3ZR-11A-11R-A23N-07,-0.089960605
TCGA-EL-A3ZS-11A-11R-A23N-07,-0.064706534
TCGA-EL-A3ZT-11A-13R-A23N-07,-0.12285151
TCGA-EM-A1CS-11A-21R-A13Y-07,-0.13034394
TCGA-EM-A1CT-11A-11R-A13Y-07,-0.14567304
TCGA-EM-A1CU-11A-11R-A13Y-07,-0.12431877
TCGA-EM-A1CV-11A-11R-A13Y-07,-0.16420631
TCGA-EM-A1CW-11A-12R-A13Y-07,-0.15791829
TCGA-EM-A1YC-11A-11R-A14Y-07,-0.09581416
TCGA-EM-A3ST-11A-11R-A22U-07,-0.13471556
TCGA-ET-A2MX-11C-11R-A23N-07,-0.12374823
TCGA-ET-A2N5-11B-11R-A18C-07,-0.15045576
TCGA-ET-A3DP-11A-22R-A21D-07,-0.1475493
TCGA-ET-A3DW-11A-11R-A19O-07,-0.15038797
TCGA-FY-A3TY-11A-12R-A22U-07,-0.12146657
TCGA-GE-A2C6-11A-11R-A16R-07,-0.078311436
TCGA-H2-A2K9-11A-11R-A180-07,-0.08332927
TCGA-H2-A3RI-11A-11R-A220-07,-0.10699449
TCGA-KS-A41I-11A-11R-A23N-07,-0.071852066
TCGA-KS-A41J-11A-12R-A23N-07,-0.100731716
TCGA-KS-A41L-11A-11R-A23N-07,-0.11020035
TCGA-GN-A4U8-11A-11R-A32P-07,-0.10094853
TCGA-06-0675-11A-32R-A36H-07,-0.06176313
TCGA-06-0678-11A-32R-A36H-07,-0.0642395
TCGA-06-0680-11A-32R-A36H-07,-0.068177484
TCGA-06-0681-11A-41R-A36H-07,-0.0645316
TCGA-06-AABW-11A-31R-A36H-07,-0.0967605
TCGA-A4-A4ZT-11A-11R-A26U-07,-0.078735195
TCGA-A4-A57E-11A-11R-A26U-07,-0.056179043
TCGA-B9-4115-11A-01R-1758-07,-0.061453793
TCGA-BQ-5875-11A-01R-1592-07,-0.04651088
TCGA-BQ-5877-11A-01R-1592-07,-0.07608713
TCGA-BQ-5878-11A-01R-1592-07,-0.06996073
TCGA-BQ-5879-11A-01R-1592-07,-0.0743788
TCGA-BQ-5882-11A-01R-1592-07,-0.074542746
