,0
TCGA-G9-6354-01A-11R-A311-07,-0.06460653
TCGA-G9-6356-01A-11R-1789-07,-0.014702308
TCGA-G9-6361-01A-21R-1965-07,-0.046355117
TCGA-G9-6362-01A-11R-1789-07,-0.08436393
TCGA-G9-6363-01A-21R-1789-07,-0.05783912
TCGA-G9-6364-01A-21R-1789-07,-0.04778631
TCGA-G9-6365-01A-11R-1789-07,-0.025544781
TCGA-G9-6366-01A-11R-2118-07,-0.079062395
TCGA-G9-6367-01A-11R-1789-07,-0.04401396
TCGA-G9-6369-01A-21R-1965-07,-0.094449945
TCGA-G9-6370-01A-11R-1789-07,-0.022700844
TCGA-G9-6371-01A-11R-1789-07,-0.09649591
TCGA-G9-6373-01A-11R-1789-07,-0.04043336
TCGA-G9-6377-01A-11R-1965-07,-0.06365985
TCGA-G9-6378-01A-11R-1789-07,-0.032302987
TCGA-G9-6379-01A-11R-A31N-07,-0.016579716
TCGA-G9-6384-01A-11R-1789-07,-0.04637412
TCGA-G9-6385-01A-11R-1789-07,-0.042590138
TCGA-G9-6494-01A-11R-1789-07,-0.07659191
TCGA-G9-6496-01A-11R-1789-07,-0.06737823
TCGA-G9-6498-01A-12R-A311-07,-0.038823623
TCGA-G9-6499-01A-12R-1965-07,-0.06595277
TCGA-G9-7509-01A-11R-A41O-07,-0.053968217
TCGA-G9-7510-01A-11R-2263-07,-0.02712795
TCGA-G9-7519-01A-11R-2263-07,-0.06477885
TCGA-G9-7521-01A-11R-2263-07,-0.057319313
TCGA-G9-7522-01A-11R-2263-07,-0.04627344
TCGA-G9-7523-01A-11R-2263-07,-0.021942513
TCGA-G9-7525-01A-31R-2263-07,-0.07918768
TCGA-G9-A9S0-01A-11R-A41O-07,-0.07181431
TCGA-G9-A9S4-01A-11R-A41O-07,-0.06441245
TCGA-G9-A9S7-01A-11R-A41O-07,-0.05748383
TCGA-H9-7775-01A-11R-2118-07,-0.058855012
TCGA-H9-A6BX-01A-31R-A311-07,-0.00360515
TCGA-H9-A6BY-01A-11R-A30B-07,-0.08474169
TCGA-HC-7075-01A-11R-1965-07,-0.09468922
TCGA-HC-7077-01A-11R-1965-07,-0.12154003
TCGA-HC-7078-01A-11R-2118-07,-0.022376172
TCGA-HC-7079-01A-11R-1965-07,0.0051358542
TCGA-HC-7080-01A-11R-1965-07,-0.07408993
TCGA-HC-7081-01A-11R-1965-07,-0.029391395
TCGA-HC-7209-01A-11R-2118-07,-0.058009695
TCGA-HC-7210-01A-11R-2118-07,-0.04364244
TCGA-HC-7211-01A-11R-2118-07,-0.073850594
TCGA-HC-7212-01A-11R-2118-07,-0.085958935
TCGA-HC-7213-01A-11R-2118-07,-0.05203639
TCGA-HC-7230-01A-11R-2118-07,-0.09558604
TCGA-HC-7231-01A-11R-2118-07,-0.044179253
TCGA-HC-7232-01A-11R-2118-07,-0.06070808
TCGA-HC-7233-01A-11R-2118-07,-0.0447553
TCGA-HC-7736-01A-11R-2118-07,-0.03281991
TCGA-HC-7737-01A-11R-2118-07,-0.033905543
TCGA-HC-7738-01A-11R-2118-07,-0.05758051
TCGA-HC-7740-01A-11R-2118-07,-0.027411968
TCGA-HC-7742-01A-11R-2118-07,-0.05086678
TCGA-HC-7744-01A-11R-2118-07,-0.09103422
